x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11
522.355,619.879,353.737,675.567,138.668,602.090,324.220,360.389,530.528,121.575,540.069,419.423,280.408,118.160,176.747,162.463,179.085,304.002,nan,nan,nan,nan
522.648,619.317,353.958,675.553,138.228,602.305,324.437,359.915,530.419,121.304,545.221,423.748,281.420,118.035,176.747,162.463,178.597,303.806,nan,nan,nan,nan
525.132,619.698,353.558,674.722,138.011,602.447,325.100,357.856,531.059,116.897,548.836,426.160,281.460,117.583,176.747,162.463,178.051,303.540,nan,nan,nan,nan
525.118,619.422,353.829,674.683,137.612,602.516,325.030,357.409,530.662,117.576,550.334,426.495,282.841,117.953,176.747,162.463,178.167,303.069,nan,nan,nan,nan
524.027,618.490,354.203,675.082,137.386,602.471,325.609,356.110,530.493,118.030,552.066,427.467,282.388,116.894,176.786,162.530,174.313,306.093,nan,nan,nan,nan
525.426,618.280,354.195,674.924,138.314,602.181,326.322,354.747,530.745,115.835,553.133,427.804,282.871,116.704,176.802,162.326,170.930,303.699,nan,nan,nan,nan
526.951,616.169,353.895,674.231,139.261,602.779,326.079,355.261,530.455,116.447,553.469,427.962,283.572,116.814,176.594,162.063,168.183,300.113,nan,nan,nan,nan
523.224,612.947,353.866,673.674,142.225,603.695,326.475,353.682,531.215,112.109,554.361,427.929,282.297,115.164,176.719,158.968,165.312,298.583,nan,nan,nan,nan
520.491,609.372,354.566,674.484,148.217,607.585,326.582,354.037,530.729,114.013,554.734,427.888,283.607,113.852,176.882,159.737,161.764,295.847,nan,nan,nan,nan
520.882,607.067,354.189,673.578,149.970,608.198,326.637,352.556,531.167,111.182,555.243,428.229,282.322,108.184,176.667,159.506,158.959,294.233,nan,nan,nan,nan
519.712,604.731,354.154,673.532,151.743,613.241,326.903,352.470,531.276,111.169,556.037,428.911,282.179,103.979,177.177,158.140,157.043,293.249,nan,nan,nan,nan
520.410,603.793,354.914,674.490,153.934,614.459,327.188,351.904,531.138,110.419,556.670,429.080,283.378,99.745,177.271,157.409,155.207,292.143,nan,nan,nan,nan
520.365,602.551,355.198,674.807,156.687,616.598,327.538,350.336,531.212,110.361,557.361,429.905,285.052,97.698,177.447,156.883,154.522,291.894,nan,nan,nan,nan
520.287,601.897,354.997,673.884,158.845,620.460,327.354,351.217,531.195,109.205,557.458,429.756,285.664,94.423,177.895,156.121,153.201,291.168,nan,nan,nan,nan
520.185,601.160,354.636,673.500,160.635,622.274,327.471,350.746,531.223,109.520,557.011,428.875,286.629,94.566,177.922,155.471,151.738,290.487,nan,nan,nan,nan
520.415,600.755,355.062,674.152,161.858,623.366,326.000,348.514,531.196,108.627,557.982,429.588,286.737,92.870,178.410,154.873,151.405,290.485,nan,nan,nan,nan
520.841,600.290,355.142,674.177,162.325,623.857,325.038,346.818,531.186,108.316,558.075,429.720,287.585,92.414,177.922,155.513,150.549,290.028,nan,nan,nan,nan
520.671,599.930,354.727,673.067,163.373,625.595,324.946,341.979,531.159,107.406,558.081,429.010,287.797,91.892,178.212,154.867,150.296,289.918,nan,nan,nan,nan
520.317,599.434,354.563,672.826,163.537,625.826,323.345,339.032,531.213,107.258,559.451,431.133,288.495,91.932,178.244,155.024,149.105,289.435,nan,nan,nan,nan
521.122,599.679,354.641,672.935,164.643,627.431,322.506,336.417,531.219,106.910,558.414,427.293,288.867,91.844,178.336,155.056,149.204,289.709,nan,nan,nan,nan
521.117,599.250,354.482,672.609,164.575,627.127,321.780,333.572,531.194,107.097,555.170,425.091,288.874,90.789,178.100,155.425,147.889,289.308,nan,nan,nan,nan
521.629,599.608,354.679,672.741,165.043,627.744,320.632,332.061,531.137,106.413,554.104,425.582,289.864,93.485,178.100,155.425,146.344,289.387,nan,nan,nan,nan
521.619,599.267,354.653,672.523,165.892,628.538,320.233,330.990,531.166,106.194,555.471,429.342,290.351,91.108,178.317,155.346,143.168,287.368,nan,nan,nan,nan
522.314,598.831,353.653,671.088,165.729,628.281,320.077,330.615,531.229,106.097,555.270,428.971,291.531,87.358,178.317,155.346,139.623,286.453,nan,nan,nan,nan
524.361,595.775,354.747,672.602,165.935,628.430,319.355,329.203,531.224,105.757,556.069,428.448,293.438,85.109,178.212,155.155,137.476,285.440,nan,nan,nan,nan
521.481,587.240,354.915,673.246,166.795,629.618,319.409,329.260,530.759,107.693,555.865,429.238,295.034,81.882,178.272,154.985,135.670,284.585,nan,nan,nan,nan
517.158,580.245,356.398,673.130,166.532,629.328,319.146,328.832,530.762,107.571,556.488,428.802,296.395,82.568,178.315,155.015,134.313,284.339,nan,nan,nan,nan
517.320,575.696,357.653,673.216,166.504,629.606,318.147,327.247,530.713,107.630,556.438,429.030,297.141,80.987,178.315,155.015,133.731,284.371,nan,nan,nan,nan
518.002,574.446,358.107,673.210,167.453,627.518,318.290,327.342,530.713,107.630,556.490,429.035,298.042,79.854,178.315,155.015,132.153,284.036,nan,nan,nan,nan
518.736,573.250,358.481,672.077,168.412,625.731,318.262,327.413,530.718,107.257,556.487,429.046,299.216,81.528,178.315,155.015,131.529,284.025,nan,nan,nan,nan
518.940,572.255,359.119,673.489,171.152,625.120,318.251,327.171,530.734,106.976,556.302,429.359,299.127,79.511,178.239,155.133,131.107,283.819,nan,nan,nan,nan
519.787,572.094,358.876,672.202,173.188,624.355,317.758,326.494,530.222,107.816,556.302,429.347,300.097,80.894,177.911,155.996,130.695,283.814,nan,nan,nan,nan
519.855,571.097,359.611,672.519,174.270,623.721,317.872,326.599,527.735,103.833,556.227,429.513,300.482,79.702,177.356,154.439,129.668,283.706,nan,nan,nan,nan
520.744,571.331,359.350,671.690,176.010,623.723,317.780,326.551,527.020,95.478,556.010,429.725,303.113,78.533,178.000,152.787,129.076,283.739,nan,nan,nan,nan
520.161,569.851,359.818,672.115,177.637,622.435,317.272,325.688,525.466,93.446,556.016,429.839,306.823,71.859,177.738,153.775,128.854,283.831,nan,nan,nan,nan
520.362,569.991,359.670,671.334,178.255,622.455,316.859,325.128,524.255,88.513,556.529,428.159,309.632,67.160,178.369,151.953,128.474,283.824,nan,nan,nan,nan
520.319,569.544,360.003,671.171,177.553,622.641,316.738,324.962,524.939,87.951,555.810,427.986,312.311,66.362,177.624,152.927,128.164,283.947,nan,nan,nan,nan
520.426,568.918,359.997,670.705,179.149,622.271,316.325,324.338,524.857,87.598,557.444,427.263,313.806,65.512,178.142,151.732,127.888,283.940,nan,nan,nan,nan
520.600,568.558,360.140,670.796,178.909,622.174,316.275,324.175,525.344,87.665,556.884,424.485,314.250,65.537,178.117,151.842,129.345,284.521,nan,nan,nan,nan
520.601,568.188,360.199,670.364,178.871,622.216,316.278,324.423,525.564,87.799,557.253,423.255,314.535,64.971,178.465,150.826,126.234,283.175,nan,nan,nan,nan
520.547,567.903,360.294,670.185,179.386,622.028,316.419,324.748,525.353,86.621,557.284,422.066,314.565,65.459,178.385,151.626,123.562,282.572,nan,nan,nan,nan
520.739,568.142,360.049,669.332,180.175,621.623,315.857,325.322,526.139,87.997,556.537,421.482,314.129,66.664,178.305,151.717,121.406,282.298,nan,nan,nan,nan
520.879,568.359,359.957,668.824,178.892,622.564,312.902,324.766,526.050,87.426,556.744,420.771,314.368,66.263,178.239,151.386,120.319,281.754,nan,nan,nan,nan
520.946,567.757,360.156,668.702,178.824,622.690,310.145,322.132,526.103,86.850,557.245,425.263,314.908,65.276,178.290,151.352,118.683,281.499,nan,nan,nan,nan
521.047,567.581,359.965,668.027,179.961,622.048,308.384,321.183,526.479,87.538,556.802,423.684,315.060,66.014,178.290,151.352,118.094,281.487,nan,nan,nan,nan
521.040,567.353,360.882,667.617,179.944,622.031,304.325,318.781,526.257,87.103,556.938,425.885,314.619,66.997,178.290,151.352,117.358,281.599,nan,nan,nan,nan
521.295,567.945,364.807,672.808,179.845,622.256,302.589,317.789,526.361,86.537,559.113,425.935,314.964,66.053,178.519,151.250,117.073,281.693,nan,nan,nan,nan
522.392,569.405,367.215,672.961,179.763,622.175,301.535,317.366,526.516,86.509,559.783,425.191,315.194,65.835,178.517,151.212,116.865,281.708,nan,nan,nan,nan
523.408,565.048,368.963,673.062,177.983,620.770,300.374,316.670,526.687,86.545,560.775,425.033,315.175,65.958,178.249,151.951,116.101,281.773,nan,nan,nan,nan
523.442,558.612,368.866,671.778,175.157,618.228,300.063,316.894,526.637,86.679,561.547,425.024,315.323,65.318,178.517,151.212,115.551,281.710,nan,nan,nan,nan
527.787,553.025,369.978,672.095,174.028,616.305,298.749,316.356,526.881,86.341,561.912,424.772,315.484,64.866,177.838,152.245,114.851,281.953,nan,nan,nan,nan
529.260,548.048,370.111,671.124,173.034,612.490,298.062,316.036,526.542,85.635,561.899,425.291,315.321,65.547,177.273,152.493,114.561,281.945,nan,nan,nan,nan
