x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10
525.835,623.711,345.368,668.873,141.494,601.364,317.965,377.644,183.077,308.519,527.191,401.760,282.175,129.005,176.622,162.950,520.947,148.986,nan,nan
525.337,622.698,349.004,674.913,140.905,601.638,319.918,372.483,182.138,307.317,527.597,402.761,281.539,128.719,176.609,162.833,524.131,145.852,nan,nan
523.465,622.041,351.903,677.239,140.773,601.652,321.127,369.882,181.052,306.365,527.519,402.082,280.891,126.996,176.654,162.654,527.150,141.978,nan,nan
521.470,621.088,352.513,675.802,139.530,601.928,322.193,366.582,180.795,305.085,528.508,401.913,281.805,123.916,176.654,162.654,528.187,136.514,nan,nan
523.755,620.833,352.612,674.950,139.451,601.837,322.969,364.166,180.096,305.462,532.284,404.198,280.504,121.069,176.654,162.654,528.883,129.833,nan,nan
524.085,620.503,352.965,675.196,138.783,601.888,323.211,363.176,179.244,304.220,536.141,412.433,281.220,120.404,176.654,162.654,529.433,127.343,nan,nan
522.355,619.879,353.521,675.209,138.668,602.090,324.213,360.373,179.065,304.133,540.176,419.641,280.496,118.081,176.654,162.654,530.393,122.545,nan,nan
522.567,619.266,354.179,675.852,138.909,602.017,324.363,360.311,178.841,304.152,544.729,422.664,282.565,119.145,176.654,162.654,530.441,121.365,nan,nan
525.132,619.698,353.388,674.509,138.030,602.447,325.016,358.181,178.212,303.582,547.866,424.786,281.461,117.521,176.654,162.654,531.059,116.897,nan,nan
525.054,619.441,353.788,674.627,137.714,602.492,325.051,357.361,178.320,303.337,550.307,426.596,283.154,118.231,176.654,162.654,530.553,118.495,nan,nan
523.950,618.431,354.358,675.322,137.386,602.471,325.479,356.603,174.381,306.086,551.645,426.689,283.443,117.801,176.696,162.713,530.500,117.947,nan,nan
525.548,618.274,353.856,674.521,138.314,602.181,326.200,355.148,170.937,303.708,553.124,427.753,282.103,115.972,176.697,162.654,530.463,117.361,nan,nan
526.951,616.169,353.862,674.170,139.261,602.779,325.982,355.260,168.183,300.113,553.505,428.012,283.937,117.054,176.444,161.955,530.475,116.696,nan,nan
523.082,612.874,353.680,673.342,142.225,603.695,326.560,353.565,165.471,298.695,554.198,427.900,282.835,115.559,176.742,159.192,531.129,113.105,nan,nan
520.459,609.317,354.422,674.267,147.949,607.415,326.428,354.129,161.706,295.839,554.800,427.934,283.662,114.011,176.933,159.637,530.721,114.077,nan,nan
520.873,607.034,354.229,673.754,149.391,607.169,326.557,353.137,158.817,294.189,555.232,428.189,282.439,108.324,176.667,159.506,530.797,113.275,nan,nan
519.705,604.711,354.397,673.861,151.649,613.444,326.924,352.497,157.068,293.256,555.936,428.704,282.315,104.307,177.186,157.987,531.285,111.068,nan,nan
520.367,603.802,354.724,674.185,153.788,614.367,327.195,351.877,155.207,292.143,556.438,428.858,283.502,99.841,177.145,158.022,531.114,110.589,nan,nan
520.302,602.633,355.113,674.654,156.619,616.644,327.514,350.530,154.474,291.852,557.009,429.535,285.072,97.698,177.313,157.365,531.212,110.361,nan,nan
520.133,601.752,354.997,673.884,158.886,620.534,327.277,351.411,153.201,291.168,557.027,429.344,285.664,94.423,177.551,156.652,531.285,107.367,nan,nan
520.201,601.137,354.511,673.466,159.405,620.688,327.474,350.649,152.299,290.757,556.545,428.243,286.438,93.953,177.947,155.511,531.363,107.307,nan,nan
520.423,600.697,354.547,673.496,161.638,623.062,326.084,348.834,151.056,290.255,557.160,428.260,286.743,92.887,nan,nan,531.205,109.307,nan,nan
520.776,600.261,354.629,673.524,162.325,623.857,324.959,346.578,150.491,290.025,557.253,428.393,287.901,93.675,177.908,155.501,531.173,108.804,nan,nan
520.645,599.930,354.648,672.840,163.216,625.358,325.094,342.737,149.760,289.621,558.131,429.214,287.950,92.463,178.195,155.014,531.194,106.935,nan,nan
520.317,599.434,354.524,672.788,162.823,624.905,323.378,339.113,149.247,289.454,558.908,430.161,288.670,92.621,178.226,155.171,531.257,106.787,nan,nan
520.956,599.529,354.628,672.935,164.643,627.431,322.570,336.384,149.204,289.709,558.561,427.346,288.883,91.966,178.436,154.553,531.288,106.600,nan,nan
520.867,599.133,354.559,672.759,165.120,628.072,321.919,333.985,147.839,289.269,555.170,425.091,288.988,91.172,178.250,154.971,531.240,106.522,nan,nan
521.264,599.337,354.492,672.670,164.748,627.322,320.847,332.592,146.479,289.431,554.124,426.045,289.864,93.485,178.226,155.232,531.157,106.180,nan,nan
521.566,599.237,354.480,672.278,164.910,627.309,320.431,331.312,143.140,287.401,555.515,429.393,290.213,90.764,178.212,155.155,531.203,105.711,nan,nan
522.249,598.732,353.611,671.202,165.351,627.882,320.047,330.528,139.760,286.479,555.270,428.971,291.771,87.395,178.212,155.155,531.276,105.518,nan,nan
524.361,595.775,354.868,672.733,165.887,628.392,319.523,329.667,137.857,285.504,556.069,428.448,293.268,84.538,178.212,155.155,531.270,105.196,nan,nan
521.433,587.327,354.940,673.090,166.470,629.175,319.487,329.503,136.062,284.767,555.999,429.355,295.034,81.882,178.285,154.982,530.730,107.840,nan,nan
517.158,580.245,356.115,672.783,166.784,629.701,319.300,329.281,134.959,284.581,556.530,428.822,296.395,82.568,178.285,154.982,530.734,107.721,nan,nan
517.285,575.807,357.614,673.083,165.881,628.735,318.417,327.815,133.694,284.294,556.549,428.831,297.076,80.287,178.285,154.982,530.685,107.782,nan,nan
517.880,574.329,357.953,672.765,167.438,627.510,318.490,327.683,132.867,284.191,556.737,428.703,297.931,80.268,178.285,154.982,530.685,107.782,nan,nan
518.543,573.117,358.387,671.828,168.412,625.731,318.227,327.368,131.883,284.106,556.692,428.815,299.250,81.206,178.285,154.982,530.690,107.412,nan,nan
518.863,572.207,359.119,673.489,171.245,624.990,318.227,327.187,131.602,284.072,556.519,429.049,299.135,79.620,178.209,155.100,530.726,107.037,nan,nan
